threshold,id,timepoint,ear,frequency,status,status_message,pth
38.69,0,0,left,16000,Success,sigmoid,C:\Data\ABRpresto data\Mouse0_timepoint0_left abr_io_ABRpresto_fit 16000.png
45.8,0,0,left,32000,Success,sigmoid,C:\Data\ABRpresto data\Mouse0_timepoint0_left abr_io_ABRpresto_fit 32000.png
44.41,0,0,left,8000,Success,sigmoid,C:\Data\ABRpresto data\Mouse0_timepoint0_left abr_io_ABRpresto_fit 8000.png
32.15,100,0,left,11313,Success,sigmoid,C:\Data\ABRpresto data\Mouse100_timepoint0_left abr_io_ABRpresto_fit 11313.png
31.08,100,0,left,16000,Success,sigmoid,C:\Data\ABRpresto data\Mouse100_timepoint0_left abr_io_ABRpresto_fit 16000.png
47.23,100,0,left,22627,Success,sigmoid,C:\Data\ABRpresto data\Mouse100_timepoint0_left abr_io_ABRpresto_fit 22627.png
60.28,100,0,left,32000,Success,sigmoid,C:\Data\ABRpresto data\Mouse100_timepoint0_left abr_io_ABRpresto_fit 32000.png
86.66,100,0,left,4000,Success,sigmoid,C:\Data\ABRpresto data\Mouse100_timepoint0_left abr_io_ABRpresto_fit 4000.png
64.64,100,0,left,45254,Success,sigmoid,C:\Data\ABRpresto data\Mouse100_timepoint0_left abr_io_ABRpresto_fit 45254.png
81.53,100,0,left,5656,Success,sigmoid,C:\Data\ABRpresto data\Mouse100_timepoint0_left abr_io_ABRpresto_fit 5656.png
59.57,100,0,left,8000,Success,sigmoid,C:\Data\ABRpresto data\Mouse100_timepoint0_left abr_io_ABRpresto_fit 8000.png
67.43,100,0,right,11313,Success,sigmoid,C:\Data\ABRpresto data\Mouse100_timepoint0_right abr_io_ABRpresto_fit 11313.png
-inf,100,0,right,16000,Success,"all above criterion, threshold is -inf",C:\Data\ABRpresto data\Mouse100_timepoint0_right abr_io_ABRpresto_fit 16000.png
75.51,100,0,right,22627,Success,sigmoid,C:\Data\ABRpresto data\Mouse100_timepoint0_right abr_io_ABRpresto_fit 22627.png
101.77,100,0,right,32000,Success,sigmoid,C:\Data\ABRpresto data\Mouse100_timepoint0_right abr_io_ABRpresto_fit 32000.png
inf,100,0,right,4000,Success,"all below criterion, threshold is inf",C:\Data\ABRpresto data\Mouse100_timepoint0_right abr_io_ABRpresto_fit 4000.png
95.7,100,0,right,45254,Success,sigmoid,C:\Data\ABRpresto data\Mouse100_timepoint0_right abr_io_ABRpresto_fit 45254.png
inf,100,0,right,5656,Success,"all below criterion, threshold is inf",C:\Data\ABRpresto data\Mouse100_timepoint0_right abr_io_ABRpresto_fit 5656.png
89.92,100,0,right,8000,Success,sigmoid,C:\Data\ABRpresto data\Mouse100_timepoint0_right abr_io_ABRpresto_fit 8000.png
74.67,101,0,left,11313,Success,sigmoid,C:\Data\ABRpresto data\Mouse101_timepoint0_left abr_io_ABRpresto_fit 11313.png
79.78,101,0,left,16000,Success,sigmoid,C:\Data\ABRpresto data\Mouse101_timepoint0_left abr_io_ABRpresto_fit 16000.png
86.15,101,0,left,22627,Success,sigmoid,C:\Data\ABRpresto data\Mouse101_timepoint0_left abr_io_ABRpresto_fit 22627.png
99.2,101,0,left,32000,Success,sigmoid,C:\Data\ABRpresto data\Mouse101_timepoint0_left abr_io_ABRpresto_fit 32000.png
56.76,101,0,left,4000,Success,sigmoid,C:\Data\ABRpresto data\Mouse101_timepoint0_left abr_io_ABRpresto_fit 4000.png
84.36,101,0,left,45254,Success,sigmoid,C:\Data\ABRpresto data\Mouse101_timepoint0_left abr_io_ABRpresto_fit 45254.png
56.02,101,0,left,5656,Success,sigmoid,C:\Data\ABRpresto data\Mouse101_timepoint0_left abr_io_ABRpresto_fit 5656.png
53.25,101,0,left,8000,Success,sigmoid,C:\Data\ABRpresto data\Mouse101_timepoint0_left abr_io_ABRpresto_fit 8000.png
79.36,101,0,right,11313,Success,sigmoid,C:\Data\ABRpresto data\Mouse101_timepoint0_right abr_io_ABRpresto_fit 11313.png
