id,timepoint,ear,frequency,min_level,max_level,manual threshold
0,0,left,8000,15,80,45.0
0,0,left,16000,15,80,40.0
0,0,left,32000,15,80,45.0
1,0,left,4000,15,80,inf
1,0,left,5656,15,80,inf
1,0,left,8000,15,80,80.0
1,0,left,11313,15,80,75.0
1,0,left,16000,15,80,inf
1,0,left,22627,15,80,inf
1,0,left,32000,15,80,55.0
1,0,left,45254,15,80,75.0
2,0,left,4000,15,105,inf
2,1,left,4000,15,105,105.0
2,0,left,5656,15,105,105.0
2,1,left,5656,15,105,100.0
2,0,left,8000,15,105,95.0
2,1,left,8000,15,105,95.0
2,0,left,11313,15,105,85.0
2,1,left,11313,15,105,90.0
2,0,left,16000,15,105,90.0
2,1,left,16000,15,105,85.0
2,0,left,22627,15,105,90.0
2,1,left,22627,15,105,85.0
2,0,left,32000,15,105,95.0
2,1,left,32000,15,105,80.0
3,1,left,4000,15,80,45.0
3,0,left,4000,15,80,35.0
3,1,left,5656,15,80,40.0
3,0,left,5656,15,80,35.0
3,1,left,8000,15,80,30.0
3,0,left,8000,15,80,15.0
3,1,left,11313,15,80,20.0
3,0,left,11313,15,80,25.0
3,1,left,16000,15,80,25.0
3,0,left,16000,15,80,15.0
3,1,left,22627,15,80,35.0
3,0,left,22627,15,80,20.0
3,1,left,32000,15,80,40.0
3,0,left,32000,15,80,35.0
3,1,left,45254,15,80,50.0
3,0,left,45254,15,80,30.0
4,0,left,4000,15,105,95.0
4,0,left,5656,15,105,90.0
4,0,left,8000,15,105,85.0
4,0,left,11313,15,105,85.0
4,0,left,16000,15,105,85.0
4,0,left,22627,15,105,85.0
4,0,left,32000,15,105,85.0
4,0,left,45254,15,105,75.0
4,0,right,4000,15,105,95.0
4,0,right,5656,15,105,95.0
4,0,right,8000,15,105,85.0
4,0,right,11313,15,105,80.0
4,0,right,16000,15,105,80.0
4,0,right,22627,15,105,80.0
4,0,right,32000,15,105,85.0
4,0,right,45254,15,105,85.0
5,0,left,4000,15,105,80.0
5,0,left,5656,15,105,80.0
5,0,left,8000,15,105,75.0
5,0,left,11313,15,105,75.0
5,0,left,16000,15,105,75.0
5,0,left,22627,15,105,85.0
5,0,left,32000,15,105,80.0
5,0,left,45254,15,105,75.0
5,0,right,4000,15,105,85.0
5,0,right,5656,15,105,85.0
5,0,right,8000,15,105,75.0
5,0,right,11313,15,105,80.0
5,0,right,16000,15,105,75.0
5,0,right,22627,15,105,80.0
5,0,right,32000,15,105,80.0
5,0,right,45254,15,105,75.0
6,0,left,8000,15,80,50.0
6,0,left,16000,15,80,60.0
6,0,left,32000,15,80,40.0
7,0,left,4000,15,80,75.0
7,0,left,5656,15,80,75.0
7,0,left,8000,15,80,65.0
7,0,left,11313,15,80,70.0
7,0,left,16000,15,80,55.0
7,0,left,22627,15,80,55.0
7,0,left,32000,15,80,70.0
7,0,left,45254,15,80,65.0
8,0,left,4000,65,105,105.0
8,0,left,5656,65,105,105.0
8,0,left,8000,65,105,85.0
8,0,left,11313,65,105,85.0
8,0,left,16000,65,105,80.0
8,0,left,22627,65,105,95.0
8,0,left,32000,65,105,inf
8,0,left,45254,65,105,inf
9,0,left,4000,15,80,40.0
9,0,left,5656,15,80,25.0
9,0,left,8000,15,80,15.0
9,0,left,11313,15,80,25.0
9,0,left,16000,15,80,20.0
9,0,left,22627,15,80,20.0
9,0,left,32000,15,80,40.0
9,0,left,45254,15,80,inf
10,0,left,4000,65,105,100.0
10,1,left,4000,65,105,inf
10,0,left,5656,65,105,inf
10,1,left,5656,65,105,inf
10,0,left,8000,65,105,100.0
10,1,left,8000,65,105,100.0
10,0,left,11313,65,105,95.0
10,1,left,11313,65,105,95.0
10,0,left,16000,65,105,100.0
10,1,left,16000,65,105,90.0
10,0,left,22627,65,105,100.0
10,1,left,22627,65,105,95.0
10,0,left,32000,65,105,95.0
10,1,left,32000,65,105,95.0
11,0,left,4000,15,105,75.0
11,1,left,4000,15,105,50.0
11,2,left,4000,15,105,50.0
11,3,left,4000,15,105,50.0
11,4,left,4000,15,105,55.0
11,5,left,4000,15,105,70.0
11,0,left,5656,15,105,60.0
11,1,left,5656,15,105,45.0
11,2,left,5656,15,105,40.0
11,3,left,5656,15,105,40.0
11,4,left,5656,15,105,45.0
11,5,left,5656,15,105,70.0
11,0,left,8000,15,105,45.0
11,1,left,8000,15,105,40.0
11,2,left,8000,15,105,35.0
11,3,left,8000,15,105,30.0
11,4,left,8000,15,105,45.0
11,5,left,8000,15,105,50.0
11,0,left,11313,15,105,55.0
11,1,left,11313,15,105,45.0
11,2,left,11313,15,105,35.0
11,3,left,11313,15,105,40.0
11,4,left,11313,15,105,50.0
11,5,left,11313,15,105,40.0
11,0,left,16000,15,105,60.0
11,1,left,16000,15,105,55.0
11,2,left,16000,15,105,45.0
11,3,left,16000,15,105,50.0
11,4,left,16000,15,105,45.0
11,5,left,16000,15,105,55.0
11,0,left,22627,15,105,95.0
11,1,left,22627,15,105,55.0
11,2,left,22627,15,105,45.0
11,3,left,22627,15,105,60.0
11,4,left,22627,15,105,55.0
11,5,left,22627,15,105,70.0
11,0,left,32000,15,105,90.0
11,1,left,32000,15,105,75.0
11,2,left,32000,15,105,80.0
11,3,left,32000,15,105,90.0
11,4,left,32000,15,105,75.0
11,5,left,32000,15,105,85.0
11,1,left,45254,15,105,75.0
11,2,left,45254,15,105,85.0
11,3,left,45254,15,105,80.0
11,4,left,45254,15,105,80.0
11,5,left,45254,15,105,95.0
11,1,right,4000,15,105,60.0
11,2,right,4000,15,105,65.0
11,3,right,4000,15,105,55.0
11,4,right,4000,15,105,60.0
11,5,right,4000,15,105,60.0
11,1,right,5656,15,105,50.0
11,2,right,5656,15,105,50.0
11,3,right,5656,15,105,45.0
11,4,right,5656,15,105,50.0
11,5,right,5656,15,105,50.0
11,1,right,8000,15,105,50.0
11,2,right,8000,15,105,45.0
11,3,right,8000,15,105,35.0
11,4,right,8000,15,105,40.0
11,5,right,8000,15,105,40.0
11,1,right,11313,15,105,70.0
11,2,right,11313,15,105,65.0
11,3,right,11313,15,105,65.0
11,4,right,11313,15,105,70.0
11,5,right,11313,15,105,70.0
11,1,right,16000,15,105,75.0
11,2,right,16000,15,105,65.0
11,3,right,16000,15,105,65.0
11,4,right,16000,15,105,65.0
11,5,right,16000,15,105,65.0
11,1,right,22627,15,105,75.0
11,2,right,22627,15,105,80.0
11,3,right,22627,15,105,75.0
11,4,right,22627,15,105,80.0
11,5,right,22627,15,105,80.0
11,1,right,32000,15,105,90.0
11,2,right,32000,15,105,100.0
11,3,right,32000,15,105,100.0
11,4,right,32000,15,105,95.0
11,5,right,32000,15,105,95.0
11,1,right,45254,15,105,90.0
11,2,right,45254,15,105,90.0
11,3,right,45254,15,105,95.0
11,4,right,45254,15,105,95.0
11,5,right,45254,15,105,75.0
12,0,left,4000,15,105,100.0
12,2,left,4000,15,105,65.0
12,1,left,4000,15,105,55.0
12,0,left,5656,15,105,50.0
12,2,left,5656,15,105,45.0
12,1,left,5656,15,105,40.0
12,0,left,8000,15,105,40.0
12,2,left,8000,15,105,40.0
12,1,left,8000,15,105,35.0
12,0,left,11313,15,105,35.0
12,2,left,11313,15,105,30.0
12,1,left,11313,15,105,35.0
12,0,left,16000,15,105,45.0
12,2,left,16000,15,105,40.0
12,1,left,16000,15,105,30.0
12,0,left,22627,15,105,30.0
12,2,left,22627,15,105,45.0
12,1,left,22627,15,105,40.0
12,0,left,32000,15,105,30.0
12,2,left,32000,15,105,55.0
12,1,left,32000,15,105,45.0
13,0,left,4000,15,105,inf
13,1,left,4000,15,105,inf
13,0,left,5656,15,105,105.0
13,1,left,5656,15,105,100.0
13,0,left,8000,15,105,95.0
13,1,left,8000,15,105,90.0
13,0,left,11313,15,105,90.0
13,1,left,11313,15,105,80.0
13,0,left,16000,15,105,90.0
13,1,left,16000,15,105,85.0
13,0,left,22627,15,105,85.0
13,1,left,22627,15,105,90.0
13,0,left,32000,15,105,90.0
13,1,left,32000,15,105,95.0
14,0,left,4000,60,105,inf
14,1,left,4000,65,105,inf
14,0,left,5656,60,105,100.0
14,1,left,5656,65,105,inf
14,0,left,8000,60,105,95.0
14,1,left,8000,65,105,100.0
14,0,left,11313,60,105,90.0
14,1,left,11313,65,105,95.0
14,0,left,16000,60,105,100.0
14,1,left,16000,65,105,105.0
14,0,left,22627,60,105,100.0
14,1,left,22627,65,105,105.0
14,0,left,32000,60,105,95.0
14,1,left,32000,65,105,90.0
14,0,left,45254,60,105,inf
14,1,left,45254,65,105,inf
15,0,left,4000,15,105,50.0
15,0,left,5656,15,105,50.0
15,0,left,8000,15,105,50.0
15,0,left,11313,15,105,65.0
15,0,left,16000,15,105,95.0
15,0,left,22627,15,105,95.0
15,0,left,32000,15,105,100.0
15,0,left,45254,15,105,inf
15,0,right,4000,15,105,55.0
15,0,right,5656,15,105,45.0
15,0,right,8000,15,105,40.0
15,0,right,11313,15,105,60.0
15,0,right,16000,15,105,90.0
15,0,right,22627,15,105,90.0
15,0,right,32000,15,105,90.0
15,0,right,45254,15,105,95.0
16,0,left,8000,15,80,65.0
16,1,left,8000,15,80,40.0
16,0,left,16000,15,80,55.0
16,1,left,16000,15,80,60.0
16,0,left,32000,15,80,40.0
16,1,left,32000,15,80,65.0
17,0,left,4000,15,105,95.0
17,1,left,4000,15,105,100.0
17,0,left,5656,15,105,95.0
17,1,left,5656,15,105,90.0
17,0,left,8000,15,105,85.0
17,1,left,8000,15,105,85.0
17,0,left,11313,15,105,80.0
17,1,left,11313,15,105,80.0
17,0,left,16000,15,105,50.0
17,1,left,16000,15,105,40.0
17,0,left,22627,15,105,65.0
17,1,left,22627,15,105,65.0
17,0,left,32000,15,105,70.0
17,1,left,32000,15,105,90.0
17,0,left,45254,15,105,80.0
17,1,left,45254,15,105,85.0
17,0,right,4000,65,105,105.0
17,0,right,5656,65,105,105.0
