,t0,target_tone_frequency,target_tone_level,target_tone_polarity,ordering,rate,reject_threshold,averages
0,1.00031488,45254,15.0,1,interleaved_ramp,81,2.5,512
1,1.01265408,45254,20.0,1,interleaved_ramp,81,2.5,512
2,1.02499328,45254,25.0,1,interleaved_ramp,81,2.5,512
3,1.03733248,45254,30.0,1,interleaved_ramp,81,2.5,512
4,1.04967168,45254,35.0,1,interleaved_ramp,81,2.5,512
5,1.06201088,45254,40.0,1,interleaved_ramp,81,2.5,512
6,1.07435008,45254,45.0,1,interleaved_ramp,81,2.5,512
7,1.08668928,45254,50.0,1,interleaved_ramp,81,2.5,512
8,1.09902848,45254,55.0,1,interleaved_ramp,81,2.5,512
9,1.11136768,45254,60.0,1,interleaved_ramp,81,2.5,512
10,1.12370688,45254,65.0,1,interleaved_ramp,81,2.5,512
11,1.1360460799999998,45254,70.0,1,interleaved_ramp,81,2.5,512
12,1.1483852799999998,45254,75.0,1,interleaved_ramp,81,2.5,512
13,1.1607244799999998,45254,80.0,1,interleaved_ramp,81,2.5,512
14,1.1730636799999998,45254,85.0,1,interleaved_ramp,81,2.5,512
15,1.1854028799999998,22627,15.0,1,interleaved_ramp,81,2.5,512
16,1.1977420799999998,22627,20.0,1,interleaved_ramp,81,2.5,512
17,1.2100812799999998,22627,25.0,1,interleaved_ramp,81,2.5,512
18,1.2224204799999998,22627,30.0,1,interleaved_ramp,81,2.5,512
19,1.2347596799999998,22627,35.0,1,interleaved_ramp,81,2.5,512
20,1.2470988799999998,22627,40.0,1,interleaved_ramp,81,2.5,512
21,1.2594380799999998,22627,45.0,1,interleaved_ramp,81,2.5,512
22,1.2717772799999998,22627,50.0,1,interleaved_ramp,81,2.5,512
23,1.2841164799999998,22627,55.0,1,interleaved_ramp,81,2.5,512
24,1.2964556799999998,22627,60.0,1,interleaved_ramp,81,2.5,512
25,1.3087948799999998,22627,65.0,1,interleaved_ramp,81,2.5,512
26,1.32113408,22627,70.0,1,interleaved_ramp,81,2.5,512
27,1.33347328,22627,75.0,1,interleaved_ramp,81,2.5,512
28,1.34581248,22627,80.0,1,interleaved_ramp,81,2.5,512
29,1.35815168,22627,85.0,1,interleaved_ramp,81,2.5,512
30,1.37049088,11313,15.0,1,interleaved_ramp,81,2.5,512
31,1.38283008,11313,20.0,1,interleaved_ramp,81,2.5,512
32,1.39516928,11313,25.0,1,interleaved_ramp,81,2.5,512
33,1.40750848,11313,30.0,1,interleaved_ramp,81,2.5,512
34,1.41984768,11313,35.0,1,interleaved_ramp,81,2.5,512
35,1.43218688,11313,40.0,1,interleaved_ramp,81,2.5,512
36,1.44452608,11313,45.0,1,interleaved_ramp,81,2.5,512
37,1.45686528,11313,50.0,1,interleaved_ramp,81,2.5,512
38,1.46920448,11313,55.0,1,interleaved_ramp,81,2.5,512
39,1.48154368,11313,60.0,1,interleaved_ramp,81,2.5,512
40,1.49388288,11313,65.0,1,interleaved_ramp,81,2.5,512
41,1.50622208,11313,70.0,1,interleaved_ramp,81,2.5,512
42,1.51856128,11313,75.0,1,interleaved_ramp,81,2.5,512
43,1.53090048,11313,80.0,1,interleaved_ramp,81,2.5,512
44,1.54323968,11313,85.0,1,interleaved_ramp,81,2.5,512
45,1.55557888,5656,15.0,1,interleaved_ramp,81,2.5,512
46,1.56791808,5656,20.0,1,interleaved_ramp,81,2.5,512
47,1.58025728,5656,25.0,1,interleaved_ramp,81,2.5,512
48,1.59259648,5656,30.0,1,interleaved_ramp,81,2.5,512
49,1.60493568,5656,35.0,1,interleaved_ramp,81,2.5,512
50,1.61727488,5656,40.0,1,interleaved_ramp,81,2.5,512
51,1.62961408,5656,45.0,1,interleaved_ramp,81,2.5,512
52,1.64195328,5656,50.0,1,interleaved_ramp,81,2.5,512
53,1.65429248,5656,55.0,1,interleaved_ramp,81,2.5,512
54,1.66663168,5656,60.0,1,interleaved_ramp,81,2.5,512
55,1.67897088,5656,65.0,1,interleaved_ramp,81,2.5,512
56,1.69131008,5656,70.0,1,interleaved_ramp,81,2.5,512
57,1.70364928,5656,75.0,1,interleaved_ramp,81,2.5,512
58,1.71598848,5656,80.0,1,interleaved_ramp,81,2.5,512
59,1.72832768,5656,85.0,1,interleaved_ramp,81,2.5,512
60,1.74066688,32000,15.0,1,interleaved_ramp,81,2.5,512
61,1.75300608,32000,20.0,1,interleaved_ramp,81,2.5,512
62,1.76534528,32000,25.0,1,interleaved_ramp,81,2.5,512
63,1.77768448,32000,30.0,1,interleaved_ramp,81,2.5,512
64,1.79002368,32000,35.0,1,interleaved_ramp,81,2.5,512
65,1.80236288,32000,40.0,1,interleaved_ramp,81,2.5,512
66,1.81470208,32000,45.0,1,interleaved_ramp,81,2.5,512
67,1.82704128,32000,50.0,1,interleaved_ramp,81,2.5,512
68,1.83938048,32000,55.0,1,interleaved_ramp,81,2.5,512
69,1.85171968,32000,60.0,1,interleaved_ramp,81,2.5,512
70,1.86405888,32000,65.0,1,interleaved_ramp,81,2.5,512
71,1.87639808,32000,70.0,1,interleaved_ramp,81,2.5,512
72,1.88873728,32000,75.0,1,interleaved_ramp,81,2.5,512
73,1.90107648,32000,80.0,1,interleaved_ramp,81,2.5,512
74,1.91341568,32000,85.0,1,interleaved_ramp,81,2.5,512
75,1.92575488,16000,15.0,1,interleaved_ramp,81,2.5,512
